"2,0,0","2,0,1","2,1,0","2,1,1","3,0,0","3,0,1","3,1,0","3,1,1"
1.212544382885022e-05,2.28403807367239e-05,0.017332168093344785,0.000782196248819621,1.198659392309078e-05,1.2121554374138566e-05,0.010778813503419383,0.010526592137483274
0.05124212414792577,0.01691791915955721,0.007107562713053101,0.015555298455533235,0.051242187444069345,0.051242127740064154,0.005972286298213898,0.0057460094244061585
0.04229627739310199,0.04388002725298562,2.0635537344189514e-05,0.00020096438670780378,0.0422956198841055,0.04229620553491076,0.0003508716067926154,0.000677140565051011
0.01257033775033267,0.0021975865753505247,0.0007493773044556799,0.011485900904652714,0.012570292481232526,0.012570327222922959,0.003265186285396152,0.14372104354545076
0.028887972905118645,0.02888797285550299,0.001381255304753961,0.09737567348689134,0.02888797286194943,0.02888797275805973,0.0052658245916236595,0.005544415155811418
0.09904834226379845,0.013112158668018133,0.0012832630284012024,0.0009673099299525417,7.312300129544125e-05,0.05034431203289111,0.0010907636817749809,0.0011145351946362692
0.00017573831429715356,0.0015422991695088501,0.005030082720627748,0.005031017885451881,0.003012908782380262,0.0026119179930845487,0.005275648040029818,0.005287028308323149
0.039854329686426854,0.0011095267371517227,4.286539740202572e-06,5.291818086638055e-07,0.00016839242230100795,0.0009097558623563372,2.6828357474176895e-07,6.644309220249596e-07
0.00012250914035565592,2.7724409420029764e-05,0.0069075025969623826,0.00780398982971328,0.0013533761357153796,0.02762114565236654,0.007540228260786455,0.007504945221543921
3.5524372901375124e-05,0.0016873211158766213,0.00695807847201616,0.0005277205752963546,3.5571345807039066e-05,3.5532551464411216e-05,0.009117218141766418,0.001707898422505316
0.012737817877725172,0.012737817627399093,0.0031770859438356716,0.020457192978525586,0.01273781885036879,0.012737818249527244,0.01123964801457455,0.031114625033257945
0.0018127616262962958,0.033743919791092834,0.0104112543814402,0.05392563780749507,0.0018121001045543332,0.0018125494319743334,0.013386677906744329,0.012512296069258626
0.013652602206528192,0.013651784841245513,0.004811568731414942,0.01787984290130875,0.013652595509965943,0.013652602311820786,0.008720155367602228,0.013268469709838646
0.006279610619530877,0.006279611204356136,6.691494309652198e-05,0.00025355658914951986,0.006279611255320861,0.006279611190110292,2.483193905380227e-05,0.15511698545922303
0.0033054635035566354,0.0033054626010671304,0.0015902869381302811,0.002586618178321535,0.0033054625259559493,0.0033054627559682827,0.001890865481471486,0.0011612520556760406
0.016177583751053402,0.016177583756572703,0.04243750909916823,0.05093360040852094,0.016177583757493442,0.01617758375437399,0.05539960772859531,0.04828844290226578
0.07064057981220939,0.07064057454084659,0.01537501441304916,0.03156099085803641,0.07064057265290492,0.07064057447931019,0.019114583201378994,0.06729075502366841
4.226123128432961e-05,0.00030451065624839875,0.01997052927557054,0.07255382641321521,0.0002740716506185486,0.00023615254560985097,0.026345606342203273,0.026549095486806572
0.0012079033172897218,0.0012910886899096898,6.417178999894431e-06,0.125021704978459,2.7471840447719467e-05,1.2386650448192721e-05,0.0003270930894284058,0.00034299193517068
0.006802243583659634,0.00680224343845282,0.0010234962058714423,0.06898187696669811,0.006802243358847907,0.006802243500477352,0.0028514347780683553,0.002990029966479098
0.0072673022616891085,0.0076518805823675776,0.014595388718223756,0.002420230010455051,0.007267303744317533,0.007267302430585002,0.01766792237419973,0.0183744555374167
0.005226300310622549,0.006609541072439448,3.0439204062223534e-05,0.015781242873418012,0.00522629744654315,0.0052262998429170576,9.317615097436589e-05,0.00013661385457581585
0.0013937207555265304,0.0013937200645499595,2.496385080608785e-05,0.011519753326204316,0.0013937202312244588,0.001393721062261384,1.3580108636662238e-05,1.6726753108648098e-05
0.007648716167303647,0.0071397524881430495,0.00044145781090561785,0.0005717398150472055,0.007648715655496441,0.007648716323949872,0.0008064677816778103,0.0009798318556278496
