time,sunshine_duration
2017-12-12,34334.617
2017-12-13,34305.91
2017-12-14,34280.973
2017-12-15,28373.055
2017-12-16,34242.64
2017-12-17,34228.63
2017-12-18,34218.01
2017-12-19,31940.486
2017-12-20,21982.418
2017-12-21,34206.492
2017-12-22,31803.912
2017-12-23,31465.553
2017-12-24,21060.645
2017-12-25,28800.0
2017-12-26,34254.242
2017-12-27,32936.164
2017-12-28,32052.576
2017-12-29,33554.453
2017-12-30,31229.662
2017-12-31,33984.96
2018-01-01,33082.07
2018-01-02,24370.283
2018-01-03,3726.2476
2018-01-04,31110.348
2018-01-05,29227.488
2018-01-06,16501.713
2018-01-07,30928.398
2018-01-08,0.0
2018-01-09,12260.202
2018-01-10,16653.24
2018-01-11,29120.016
2018-01-12,34424.74
2018-01-13,32446.486
2018-01-14,29846.957
2018-01-15,13437.228
2018-01-16,25484.92
2018-01-17,28800.0
2018-01-18,34789.312
2018-01-19,20975.92
2018-01-20,35075.76
2018-01-21,33050.297
2018-01-22,33921.043
2018-01-23,31581.588
2018-01-24,33540.508
2018-01-25,35238.227
2018-01-26,35276.85
2018-01-27,35317.508
2018-01-28,35420.01
2018-01-29,28172.822
2018-01-30,33393.75
2018-01-31,35498.8
2018-02-01,35548.39
2018-02-02,35599.53
2018-02-03,36122.39
2018-02-04,36140.95
2018-02-05,36466.938
2018-02-06,36792.98
2018-02-07,36814.39
2018-02-08,37141.117
2018-02-09,37164.457
2018-02-10,37133.63
2018-02-11,34881.168
2018-02-12,37062.152
2018-02-13,38158.875
2018-02-14,37966.855
2018-02-15,38282.633
2018-02-16,38344.246
2018-02-17,38405.652
2018-02-18,38466.844
2018-02-19,38527.785
2018-02-20,38588.47
2018-02-21,38648.883
2018-02-22,38709.0
2018-02-23,38768.812
2018-02-24,38894.258
2018-02-25,38887.48
2018-02-26,8561.629
2018-02-27,31782.014
2018-02-28,36712.95
2018-03-01,15605.227
2018-03-02,32391.957
2018-03-03,34915.367
2018-03-04,39610.418
2018-03-05,40203.367
2018-03-06,40216.598
2018-03-07,21169.697
2018-03-08,39664.082
2018-03-09,32400.0
2018-03-10,404.05817
2018-03-11,39489.766
2018-03-12,27473.504
2018-03-13,28298.834
2018-03-14,18857.33
2018-03-15,33720.83
2018-03-16,39849.566
2018-03-17,37642.875
2018-03-18,35283.68
2018-03-19,40762.582
2018-03-20,535.1099
2018-03-21,3493.9043
2018-03-22,26705.844
2018-03-23,42923.336
2018-03-24,42340.633
2018-03-25,43095.668
2018-03-26,43182.098
2018-03-27,43200.0
2018-03-28,43200.0
2018-03-29,43200.0
2018-03-30,43200.0
2018-03-31,42224.21
2018-04-01,43200.0
2018-04-02,43200.0
2018-04-03,43416.97
2018-04-04,42265.83
2018-04-05,28100.615
2018-04-06,0.0
2018-04-07,26019.309
2018-04-08,43581.492
2018-04-09,43200.0
2018-04-10,41583.176
2018-04-11,40486.438
2018-04-12,44211.08
2018-04-13,44438.78
2018-04-14,44377.164
2018-04-15,39793.81
2018-04-16,38830.676
2018-04-17,45069.367
2018-04-18,39907.242
2018-04-19,45829.207
2018-04-20,46358.47
2018-04-21,46596.184
2018-04-22,47129.785
2018-04-23,47371.066
2018-04-24,47909.367
2018-04-25,48077.35
2018-04-26,48201.945
2018-04-27,48325.37
2018-04-28,48447.52
2018-04-29,36367.03
2018-04-30,47165.453
2018-05-01,46198.867
2018-05-02,48921.08
2018-05-03,49035.13
2018-05-04,49147.633
2018-05-05,42203.08
2018-05-06,40048.29
2018-05-07,49479.824
2018-05-08,48284.88
2018-05-09,49696.05
2018-05-10,49802.29
2018-05-11,49907.145
2018-05-12,46454.01
2018-05-13,50112.293
2018-05-14,50196.75
2018-05-15,49868.32
2018-05-16,50295.453
2018-05-17,50344.008
2018-05-18,50391.94
2018-05-19,50400.0
2018-05-20,41247.414
2018-05-21,50400.0
2018-05-22,50400.0
2018-05-23,50400.0
2018-05-24,50400.0
2018-05-25,26233.008
2018-05-26,48329.71
2018-05-27,50400.0
2018-05-28,50400.0
2018-05-29,50400.0
2018-05-30,50400.0
2018-05-31,50400.0
2018-06-01,50400.0
2018-06-02,50400.0
2018-06-03,50400.0
2018-06-04,50400.0
2018-06-05,50400.0
2018-06-06,50400.0
2018-06-07,50400.0
2018-06-08,50400.0
2018-06-09,50400.0
2018-06-10,50400.0
2018-06-11,50400.0
2018-06-12,50400.0
2018-06-13,50400.0
2018-06-14,50400.0
2018-06-15,50400.0
2018-06-16,50400.0
2018-06-17,50400.0
2018-06-18,50400.0
2018-06-19,50400.0
2018-06-20,50400.0
2018-06-21,50400.0
2018-06-22,50400.0
2018-06-23,50400.0
2018-06-24,50400.0
2018-06-25,50400.0
2018-06-26,50400.0
2018-06-27,50400.0
2018-06-28,50400.0
2018-06-29,50400.0
2018-06-30,50400.0
2018-07-01,50400.0
2018-07-02,50400.0
2018-07-03,50400.0
2018-07-04,50400.0
2018-07-05,46954.1
2018-07-06,48183.47
2018-07-07,50400.0
2018-07-08,50400.0
2018-07-09,50400.0
2018-07-10,50400.0
2018-07-11,50400.0
2018-07-12,50400.0
2018-07-13,50400.0
2018-07-14,50400.0
2018-07-15,50400.0
2018-07-16,50378.332
2018-07-17,50336.5
2018-07-18,50294.24
2018-07-19,50251.64
2018-07-20,50208.793
2018-07-21,50165.77
2018-07-22,50122.66
2018-07-23,48901.145
2018-07-24,50035.477
2018-07-25,49990.86
2018-07-26,49545.113
2018-07-27,49899.78
2018-07-28,49853.44
2018-07-29,49590.414
2018-07-30,49759.45
2018-07-31,49711.906
2018-08-01,49664.066
2018-08-02,49348.39
2018-08-03,49567.727
2018-08-04,49519.33
2018-08-05,49412.035
2018-08-06,49301.734
2018-08-07,49190.402
2018-08-08,49078.15
2018-08-09,48965.07
2018-08-10,48851.26
2018-08-11,48455.87
2018-08-12,48107.344
2018-08-13,48354.383
2018-08-14,48004.008
2018-08-15,47950.316
2018-08-16,47598.973
2018-08-17,47543.42
2018-08-18,47191.453
2018-08-19,47134.383
2018-08-20,46857.125
2018-08-21,45442.53
2018-08-22,46371.49
2018-08-23,46312.33
2018-08-24,46199.785
2018-08-25,45382.21
2018-08-26,45441.312
2018-08-27,45210.047
2018-08-28,44108.01
2018-08-29,40841.36
2018-08-30,43942.273
2018-08-31,43715.44
2018-09-01,43598.31
2018-09-02,43350.82
2018-09-03,43392.863
2018-09-04,43200.0
2018-09-05,43200.0
2018-09-06,43200.0
2018-09-07,43200.0
2018-09-08,43200.0
2018-09-09,43200.0
2018-09-10,43200.0
2018-09-11,43200.0
2018-09-12,43200.0
2018-09-13,43200.0
2018-09-14,43200.0
2018-09-15,43200.0
2018-09-16,43200.0
2018-09-17,43200.0
2018-09-18,43200.0
2018-09-19,43114.445
2018-09-20,43026.094
2018-09-21,42937.637
2018-09-22,42848.57
2018-09-23,42759.0
2018-09-24,42669.027
2018-09-25,42578.758
2018-09-26,42488.297
2018-09-27,42397.742
2018-09-28,42307.195
2018-09-29,42216.766
2018-09-30,28767.604
2018-10-01,41001.94
2018-10-02,40311.438
2018-10-03,12443.832
2018-10-04,40606.13
2018-10-05,40889.652
2018-10-06,39736.848
2018-10-07,40588.83
2018-10-08,40292.15
2018-10-09,39994.086
2018-10-10,37565.125
2018-10-11,39393.684
2018-10-12,39382.63
2018-10-13,39080.008
2018-10-14,39067.754
2018-10-15,39054.965
2018-10-16,38750.164
2018-10-17,38734.902
2018-10-18,38639.305
2018-10-19,38583.332
2018-10-20,38527.016
2018-10-21,38470.363
2018-10-22,38413.39
2018-10-23,34970.83
2018-10-24,38298.54
2018-10-25,38171.195
2018-10-26,38182.574
2018-10-27,37641.836
2018-10-28,36171.402
2018-10-29,37711.64
2018-10-30,37444.434
2018-10-31,37176.15
2018-11-01,36000.0
2018-11-02,36901.7
2018-11-03,36571.312
2018-11-04,35841.945
2018-11-05,36216.88
2018-11-06,36194.184
2018-11-07,36172.938
2018-11-08,36153.223
2018-11-09,35826.047
2018-11-10,35808.625
2018-11-11,35482.535
2018-11-12,35467.668
2018-11-13,32400.0
2018-11-14,35328.938
2018-11-15,35286.758
2018-11-16,35246.53
2018-11-17,35208.348
2018-11-18,35172.297
2018-11-19,22614.367
2018-11-20,35106.676
2018-11-21,8594.619
2018-11-22,30762.852
2018-11-23,3600.0
2018-11-24,32724.545
2018-11-25,32711.543
2018-11-26,33079.066
2018-11-27,32661.17
2018-11-28,3443.3823
2018-11-29,21605.293
2018-11-30,29144.742
2018-12-01,26817.258
2018-12-02,34077.965
2018-12-03,32288.795
2018-12-04,2574.1086
2018-12-05,7517.949
2018-12-06,21803.77
2018-12-07,34538.105
2018-12-08,34321.85
2018-12-09,10267.491
2018-12-10,24537.377
2018-12-11,34107.473
2018-12-12,32994.426
2018-12-13,34318.047
2018-12-14,0.0
2018-12-15,33134.6
2018-12-16,22227.33
2018-12-17,21764.357
2018-12-18,34048.6
2018-12-19,32743.295
2018-12-20,21645.693
2018-12-21,27023.953
2018-12-22,22930.094
2018-12-23,28846.764
2018-12-24,28399.0
2018-12-25,25420.717
2018-12-26,34245.33
2018-12-27,34263.184
2018-12-28,34284.438
2018-12-29,34309.094
2018-12-30,34337.684
2018-12-31,34370.1
2019-01-01,34406.22
2019-01-02,34445.918
2019-01-03,34489.11
2019-01-04,34535.69
2019-01-05,0.0
2019-01-06,8968.94
2019-01-07,33509.723
2019-01-08,22290.71
2019-01-09,9825.438
2019-01-10,34443.273
2019-01-11,22399.812
2019-01-12,29307.314
2019-01-13,34087.832
2019-01-14,5096.4526
2019-01-15,4129.0493
2019-01-16,2083.715
2019-01-17,12292.413
2019-01-18,34982.438
2019-01-19,33991.266
2019-01-20,25200.0
2019-01-21,34286.305
2019-01-22,35126.5
2019-01-23,35159.82
2019-01-24,35195.062
2019-01-25,35232.168
2019-01-26,31247.158
2019-01-27,35311.71
2019-01-28,17946.156
2019-01-29,6235.205
2019-01-30,32400.0
2019-01-31,25200.0
2019-02-01,17988.848
2019-02-02,25200.0
2019-02-03,32668.375
2019-02-04,35691.82
2019-02-05,36151.805
2019-02-06,36477.42
2019-02-07,36803.1
2019-02-08,28712.912
2019-02-09,34861.562
2019-02-10,31012.45
2019-02-11,37712.43
2019-02-12,9161.545
2019-02-13,5869.072
2019-02-14,25648.94
2019-02-15,18786.521
2019-02-16,36929.406
2019-02-17,31932.29
2019-02-18,38453.586
2019-02-19,38514.953
2019-02-20,35419.31
2019-02-21,38636.684
2019-02-22,38697.004
2019-02-23,38755.566
2019-02-24,38816.445
2019-02-25,28440.998
2019-02-26,14400.0
2019-02-27,19302.29
2019-02-28,35907.51
2019-03-01,24445.4
2019-03-02,23734.398
2019-03-03,34967.85
2019-03-04,31677.78
2019-03-05,2212.8672
2019-03-06,32400.0
2019-03-07,23819.566
2019-03-08,31373.254
2019-03-09,22867.121
2019-03-10,37753.668
2019-03-11,41639.957
2019-03-12,41937.594
2019-03-13,42025.04
2019-03-14,42112.52
2019-03-15,42199.914
2019-03-16,42287.125
2019-03-17,42374.055
2019-03-18,41037.277
2019-03-19,23350.217
2019-03-20,30891.293
2019-03-21,42718.742
2019-03-22,26702.031
2019-03-23,25200.0
2019-03-24,42635.367
2019-03-25,43070.09
2019-03-26,42407.086
2019-03-27,32973.906
2019-03-28,41540.863
2019-03-29,43200.0
2019-03-30,43200.0
2019-03-31,43200.0
2019-04-01,27300.123
2019-04-02,43200.0
2019-04-03,32818.727
2019-04-04,29498.361
2019-04-05,25556.783
2019-04-06,42304.887
2019-04-07,43161.395
2019-04-08,33454.305
2019-04-09,43562.055
2019-04-10,43826.777
2019-04-11,31631.492
2019-04-12,43939.457
2019-04-13,43875.676
