,file_name,"model (p,d,q,k)",error
75,7333_inverter_071.csv,"(2, 1, 2, 2)",0.038710054101189446
76,7333_inverter_072.csv,"(2, 0, 1, 0)",0.036334117358278295
77,7333_inverter_073.csv,"(2, 0, 1, 0)",0.03595543803749353
78,7333_inverter_074.csv,"(2, 0, 1, 0)",0.03262244527061397
79,7333_inverter_075.csv,"(2, 0, 1, 0)",0.033981378279906854
80,7333_inverter_076.csv,"(2, 0, 1, 0)",0.03575469316708844
81,7333_inverter_077.csv,"(2, 0, 1, 0)",0.03120607372154055
82,7333_inverter_078.csv,"(2, 0, 1, 0)",0.02901097148021183
83,7333_inverter_079.csv,"(2, 0, 1, 0)",0.03360397703114743
84,7333_inverter_080.csv,"(2, 0, 1, 0)",0.03220264062119149
85,7333_inverter_081.csv,"(2, 0, 2, 0)",0.04129491779026453
86,7333_inverter_082.csv,"(2, 0, 1, 0)",0.03300946843763294
87,7333_inverter_083.csv,"(2, 0, 2, 0)",0.034470428492263866
88,7333_inverter_084.csv,"(1, 1, 2, 0)",0.03715970856217845
89,7333_inverter_085.csv,"(1, 1, 2, 2)",0.035029221670497136
